epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,val_loss,val_elapsed_time,val_accuracy
0,20220612_115012,1.5650818730132954,21556.176016807556,0.5161903253899137,1.0547907498875104,361.1049270629883,0.664011585807386
1,20220612_115012,1.1140650497198559,17289.118681192398,0.6356583010054627,0.9629339902214922,369.9389579296112,0.7034757422157857
2,20220612_115012,0.9838655135577203,26317.32741713524,0.6668118122080595,0.9617764116883967,558.6254007816315,0.6955104996379435
3,20220612_115012,0.8874081270916693,21749.97682785988,0.6935713720212177,0.9696292968499178,361.6181502342224,0.7049239681390297
4,20220612_115012,0.7938903020653565,29739.603683948517,0.7188266962235769,1.0206372507045725,382.7661838531494,0.7027516292541637
5,20220612_115012,0.7439651954694969,11276.867687940598,0.7305834850763994,0.9961472630845329,1404.451537847519,0.7009413468501087
6,20220612_115012,0.6655046551560887,32695.626092910767,0.7503760589026998,1.066873799772621,432.0559182167053,0.6864590876176684
7,20220612_115012,0.6188266644557493,18242.726280927658,0.7690602485947272,1.211745780671952,423.45158410072327,0.6962346125995655
8,20220612_115012,0.5717973899664835,25863.38284611702,0.7808170374475497,1.1515188864028523,434.3731532096863,0.6962346125995655
9,20220612_115012,0.5276498507408683,23348.30589723587,0.7922967302668039,1.260935664090807,469.68337893486023,0.6868211440984794
10,20220612_115012,0.4786775143978677,19871.882901906967,0.8042514448578894,1.2968469944734105,416.4082450866699,0.6763215061549602
11,20220612_115012,0.4441251361540898,13527.477319002151,0.8174332990262053,1.3555669471879914,377.8940758705139,0.6737871107892831
12,20220612_115012,0.41822913046065124,26244.01468896866,0.8251919879661151,1.3640329984226667,412.03545784950256,0.6835626357711803
